text_id,uid,text_date
1060,27,6/18/2020
1061,11,6/18/2020
1062,86,6/18/2020
1063,77,6/18/2020
1064,27,6/18/2020
1065,67,6/18/2020
1066,97,6/18/2020
1067,50,6/18/2020
1068,42,6/18/2020
1069,94,6/18/2020
1070,91,6/18/2020
1071,26,6/18/2020
1072,104,6/18/2020
1073,90,6/18/2020
1074,73,6/18/2020
1075,50,6/18/2020
1076,72,6/18/2020
1077,75,6/18/2020
1078,57,6/18/2020
1079,98,6/18/2020
1080,3,6/18/2020
1081,2,6/18/2020
1082,100,6/18/2020
1083,98,6/18/2020
1084,105,6/18/2020
1085,64,6/18/2020
1086,74,6/18/2020
1087,2,6/18/2020
1088,10,6/18/2020
1089,63,6/18/2020
1090,6,6/18/2020
1091,83,6/18/2020
1092,9,6/18/2020
1093,70,6/18/2020
1094,6,6/20/2020
1095,2,6/20/2020
1096,81,6/20/2020
1097,92,6/20/2020
1098,83,6/20/2020
1099,42,6/20/2020
1100,30,6/20/2020
1101,114,6/20/2020
1102,7,6/20/2020
1103,57,6/20/2020
1104,107,6/20/2020
1105,110,6/20/2020
1106,7,6/20/2020
1107,13,6/20/2020
1108,72,6/20/2020
1109,116,6/20/2020
1110,116,6/20/2020
1111,44,6/20/2020
1112,3,6/20/2020
1113,27,6/20/2020
1114,46,6/20/2020
1115,67,6/20/2020
1116,47,6/20/2020
1117,66,6/20/2020
1118,90,6/20/2020
1119,67,6/20/2020
1120,16,6/20/2020
1121,4,6/20/2020
1122,66,6/20/2020
1123,106,6/20/2020
1124,11,6/20/2020
1125,87,6/20/2020
1126,27,6/20/2020
1127,1,6/20/2020
1128,102,6/20/2020
1129,88,6/20/2020
1130,57,6/20/2020
1131,79,6/20/2020
1132,7,6/20/2020
1133,50,6/20/2020
1134,1,6/20/2020
1135,94,6/20/2020
1136,76,6/20/2020
1137,93,6/20/2020
1138,16,6/20/2020
1139,27,6/20/2020
1140,67,6/20/2020
1141,68,6/20/2020
1142,79,6/20/2020
1143,57,6/20/2020
1144,68,6/20/2020
1145,78,6/20/2020
1146,9,6/20/2020
1147,100,6/20/2020
1148,62,6/20/2020
1149,74,6/20/2020
1150,64,6/20/2020
1151,87,6/20/2020
1152,93,6/20/2020
1153,63,6/20/2020
1154,73,6/20/2020
1155,60,6/20/2020
1156,26,6/20/2020
1157,108,6/20/2020
1158,89,6/20/2020
1159,103,6/20/2020
1160,7,6/20/2020
1161,104,6/20/2020
1162,12,6/20/2020
1163,7,6/20/2020
1164,73,6/20/2020
1165,79,6/20/2020
1166,106,6/20/2020
1167,108,6/20/2020
1168,86,6/20/2020
1169,98,6/20/2020
1170,97,6/20/2020
1171,93,6/20/2020
1172,76,6/20/2020
1173,62,6/20/2020
1174,101,6/20/2020
1175,113,6/20/2020
1176,94,6/20/2020
1177,26,6/20/2020
1178,57,6/20/2020
1179,63,6/20/2020
1180,27,6/20/2020
1181,88,6/20/2020
1182,61,6/20/2020
1183,100,6/20/2020
1184,28,6/20/2020
1185,81,6/20/2020
1186,26,6/20/2020
1187,108,6/20/2020
1188,10,6/20/2020
1189,91,6/20/2020
1190,115,6/20/2020
1191,30,6/20/2020
1192,91,6/20/2020
1193,28,6/20/2020
1194,2,6/20/2020
1195,73,6/20/2020
1196,50,6/20/2020
1197,76,6/20/2020
1198,13,6/20/2020
1199,108,6/20/2020
1200,10,6/20/2020
1201,105,6/20/2020
1202,30,6/20/2020
1203,104,6/20/2020
1204,72,6/20/2020
1205,4,6/20/2020
1206,65,6/20/2020
1207,105,6/20/2020
1208,60,6/20/2020
1209,100,6/20/2020
1210,84,6/20/2020
1211,9,6/20/2020
1212,12,6/20/2020
1213,50,6/20/2020
1214,4,6/20/2020
1215,63,6/20/2020
1216,98,6/20/2020
1217,63,6/20/2020
1218,78,6/20/2020
1219,9,6/20/2020
1220,26,6/20/2020
1221,12,6/20/2020
